module,measurement_direction,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,status_ok_runs,packets_received,energy_total_mJ_mean,energy_total_mJ_stdev,event_mean_mA_mean,event_peak_mA_mean,event_duration_ms_mean,sample_loss_percent_max
CC1101 V1 433 MHz,tx,64,10.0,1.2,5,5,5,116.67209584956561,0.11101890400928036,48.59633002569288,51.29802033657,727.528,0.09593108624008875
CC1101 V1 433 MHz,tx,128,10.0,1.2,5,5,5,233.13685619656377,0.10288105030040298,48.072893751076556,51.308870458581666,1469.592,0.02169668040789759
CC1101 V1 433 MHz,tx,512,10.0,1.2,5,5,5,930.3751517962845,0.30186761319222605,47.61191561014742,51.22216818947556,5921.456,0.0017542731169339985
CC1101 V1 433 MHz,tx,1024,10.0,1.2,5,5,5,1857.9299214149503,0.5167391939509869,47.48139046951929,51.27635093848017,11857.467999999999,0.018284569452699993
CC1101 V1 433 MHz,tx,8,10.0,38.4,5,5,5,1.035663567107229,0.0033639911982168797,41.1414327520074,50.98391996863926,7.634,0.5257142857142857
CC1101 V1 433 MHz,tx,32,10.0,38.4,5,5,5,1.8628315111869238,0.004138115065170121,43.837649713769764,51.016386022456004,12.882,0.0
CC1101 V1 433 MHz,tx,64,10.0,38.4,5,5,5,3.8108686254013735,0.005109051975456192,28.429814270927242,51.092180590474555,40.626,0.5257142857142857
CC1101 V1 433 MHz,tx,128,10.0,38.4,5,5,5,7.714330631054972,0.0026035371449419325,24.231394782624257,51.20053169371481,96.474,0.5257142857142857
CC1101 V1 433 MHz,tx,512,10.0,38.4,5,5,5,31.096107561438043,0.009250005819102796,21.786736807970744,51.211338631419565,432.514,0.0
CC1101 V1 433 MHz,tx,1024,10.0,38.4,5,5,5,62.28097477663994,0.009810658081773733,21.43911520733015,51.27635916406244,880.308,0.14515089528399697
CC1101 V1 433 MHz,tx,8,10.0,250.0,5,5,5,0.19037288481405237,0.0013915592907538113,22.405658459273905,50.897419226298744,2.598,0.5257142857142857
CC1101 V1 433 MHz,tx,32,10.0,250.0,5,5,5,0.31967722023834766,0.002095352647494102,27.827098886434793,50.91898786100578,3.5,0.5257142857142857
CC1101 V1 433 MHz,tx,64,10.0,250.0,5,5,5,0.7291634206631435,0.0012831159645946702,10.114890989448377,51.05976183375586,21.846,0.5257142857142857
CC1101 V1 433 MHz,tx,128,10.0,250.0,5,5,5,1.536366088149026,0.004167785688216925,8.078646968737326,51.03805953333696,57.63199999999999,0.5257142857142857
CC1101 V1 433 MHz,tx,512,10.0,250.0,5,5,5,6.389976691252685,0.007659169823397198,7.076460472040827,51.12469188499378,273.63399999999996,0.2994200046064616
CC1101 V1 433 MHz,tx,1024,10.0,250.0,5,5,5,12.87321468164736,0.008063866694053729,6.947614845630965,51.178837618878184,561.484,0.24119773143755296
