module_label,profile_id,band_mhz,source_run,voltage_mv,ppk_mode,rx_validation_enabled,payload_bytes,tx_power_dbm,bit_rate_kbps,runs,events_detected,packets_received,packet_success_percent,baseline_median_mA_mean,baseline_median_mA_stdev,event_duration_ms_mean,event_duration_ms_stdev,tx_mean_mA_mean,tx_mean_mA_stdev,tx_peak_mA_mean,tx_peak_mA_stdev,charge_total_uC_mean,charge_total_uC_stdev,charge_excess_uC_mean,charge_excess_uC_stdev,energy_total_uJ_mean,energy_total_uJ_stdev,energy_excess_uJ_mean,energy_excess_uJ_stdev,energy_excess_mJ_mean,energy_excess_per_payload_byte_uJ
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,-30.0,38.4,5,5,0,0.0,1.7392504212378117,0.0,16.918,0.4632170117774181,10.501856386777293,0.25355676013518325,17.98522040543405,1.3059497812415461,177.5766421615329,0.6088271085760292,148.5443293035241,0.28723447488293224,586.0029191330585,2.009129458300887,490.19628670162956,0.9478737671136865,0.49019628670162957,7.659316979712962
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,-30.0,250.0,5,5,,,1.7923265075472106,0.001947439872789686,2.2359999999999998,0.295177912452812,7.4200165137719765,0.8167857484247929,13.45726203400238,1.4134360736026612,16.400382860995023,0.5316179722424303,12.6952795325272,0.2768959353150275,54.121263441283574,1.7543393084000192,41.89442245733976,0.9137565865395895,0.04189442245733976,5.23680280716747
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,-30.0,250.0,5,5,0,0.0,1.7401198003474971,0.0019439907874755247,2.084,0.3612201544764632,7.6754848427660995,0.9835707223133914,17.89313950392184,1.8035481388665464,15.716695611351366,0.45882357342658603,12.376240651769404,0.35799198462835663,51.86509551745951,1.5141177923077331,40.84159415083903,1.1813735492735755,0.04084159415083903,5.105199268854879
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,-30.0,250.0,5,5,,,1.7914555859596804,0.0,2.92,0.25159491250818256,8.837624355629726,0.5686986471264239,14.003192344216933,0.3876133191589534,25.69173251020946,0.3961531101222608,20.603697176145893,0.16384032749392508,84.78271728369121,1.307305263403459,67.99220068128143,0.5406730807299527,0.06799220068128144,2.1247562712900447
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,32,-30.0,250.0,5,5,0,0.0,1.7401198003474971,0.0019439907874755247,2.8259999999999996,0.011401754250991351,8.945106109185765,0.06822906848557624,17.660423885559247,0.6333276911425443,25.27876994639946,0.20349637207832388,20.526793880125584,0.19762902708239455,83.41994082311821,0.6715380278584719,67.73841980441442,0.6521757893719011,0.06773841980441442,2.1168256188879506
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,64,-30.0,250.0,5,5,,,1.7958101938973317,0.0,4.3420000000000005,0.2902929554777381,8.926998967667885,0.5087083496951084,13.784156728166202,1.2041409369955254,38.643567234758216,0.5114494512711653,31.149136909039925,0.2702341440207976,127.5237718747021,1.687783189194845,102.79215179983176,0.8917726752686334,0.10279215179983175,1.6061273718723712
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,64,-30.0,250.0,5,5,0,0.0,1.7392504212378117,0.0,4.024,0.02073644135332776,9.443673666498787,0.10328637756290973,18.74394096755049,0.8733146012196398,38.00035310748961,0.3419508678949983,31.146957890926096,0.32955646458778914,125.40116525471569,1.1284378640534976,102.78496104005612,1.0875363331397032,0.10278496104005612,1.6060150162508768
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,8,0.0,1.2,5,5,,,1.7931974291347408,0.0023851169965426566,102.61600000000001,0.00547722557504668,16.775840791555183,0.01609815997247041,18.57226470001259,0.7567860651649758,1721.4697036067141,1.6866230389340788,1537.5240152972797,1.5199856180219662,5680.850021902156,5.565856028482619,5073.829250481022,5.01595253947248,5.0738292504810225,634.2286563101278
CC1101 V2 868 MHz,RADIO_CC1101_V2_868,868,power_profiler/results/20260716_203149_radio_cc1101_v2_868,3300,ampere,True,8,0.0,1.2,5,5,4,80.0,1.7409891794571832,0.002380892746993145,102.93800000000002,0.45844301717879676,15.278302107355328,0.07494926854579233,20.413621048819735,2.1095272003928245,1572.6906655020725,1.287343616177742,1393.8704190815436,1.360069609521649,5189.8791961568395,4.248233933386557,4599.772382969093,4.488229711421513,4.5997723829690935,574.9715478711366
CC1101 V1 433 MHz,RADIO_CC1101_V1_433,433,power_profiler/results/20260716_195058_radio_cc1101_v1_433,3300,ampere,False,32,0.0,1.2,5,5,,,1.7914555859596804,0.0,262.952,0.25053941805633456,16.8158624728465,0.013588122369310755,19.278689705256273,1.1116559988136712,4421.762214670485,1.8372065756971807,3950.84240556425,1.7099178739008953,14591.8153084126,6.062781699800468,13037.779938362024,5.642728983873299,13.037779938362023,407.43062307381325
