slug,code,label,direction,payload_bytes,mode,rate_kbps,power_dbm,energy_mJ,energy_per_bit_uJ,duration_ms,runs,packets_received
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,tx,8,GFSK200,200.0,13.0,0.07565272620412238,1.182073846939412,3.8,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,rx,8,GFSK200,200.0,13.0,0.08947332465614777,1.3980206977523089,3.8,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,tx,32,GFSK200,200.0,13.0,0.10788161045307065,0.4214125408323072,4.760000000000001,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,rx,32,GFSK200,200.0,13.0,0.11235653752490506,0.43889272470666035,4.760000000000001,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,tx,64,GFSK200,200.0,13.0,0.1515409681015269,0.2959784533232947,6.04,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,rx,64,GFSK200,200.0,13.0,0.14158356896169055,0.2765304081283019,6.04,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,tx,128,GFSK200,200.0,13.0,0.2457443125742089,0.23998468024825087,12.08,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,rx,128,GFSK200,200.0,13.0,0.2854759806845767,0.27878513738728194,12.08,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,tx,512,GFSK200,200.0,13.0,0.8573002301587409,0.20930181400359885,48.32,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,rx,512,GFSK200,200.0,13.0,1.1356862188210555,0.27726714326685925,48.32,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,tx,1024,GFSK200,200.0,13.0,1.6603218557305093,0.20267600777960318,96.64,5,5
ebyte_e79_400dm2005s,E79,Ebyte E79-400DM2005S,rx,1024,GFSK200,200.0,13.0,2.2762863210606663,0.2778669825513509,96.64,5,5
hc12,HC-12,HC-12,tx,8,250 kbps,250.0,20.0,3.5621035660037763,55.65786821880901,43.142,5,5
hc12,HC-12,HC-12,rx,8,250 kbps,250.0,20.0,0.33664867229014417,5.260135504533503,20.25,5,5
hc12,HC-12,HC-12,tx,32,250 kbps,250.0,20.0,5.412551942626837,21.14278102588608,58.541999999999994,5,5
hc12,HC-12,HC-12,rx,32,250 kbps,250.0,20.0,0.357794074321045,1.397633102816582,21.02,5,5
hc12,HC-12,HC-12,tx,60,250 kbps,250.0,20.0,9.185725406964684,19.136927931176427,90.66400000000002,5,5
hc12,HC-12,HC-12,rx,60,250 kbps,250.0,20.0,0.3977959146503769,0.8287414888549519,21.919999999999998,5,5
nrf24l01,NRF,nRF24L01,tx,8,2000 kbps,2000.0,0.0,0.0125237677838869,0.1956838716232328,0.53,5,5
nrf24l01,NRF,nRF24L01,rx,8,2000 kbps,2000.0,0.0,0.052421809251978556,0.819090769562165,1.07,5,5
nrf24l01,NRF,nRF24L01,tx,16,2000 kbps,2000.0,0.0,0.014973818747710175,0.11698295896648574,0.584,5,5
nrf24l01,NRF,nRF24L01,rx,16,2000 kbps,2000.0,0.0,0.053866710780867334,0.42083367797552607,1.1,5,5
nrf24l01,NRF,nRF24L01,tx,32,2000 kbps,2000.0,0.0,0.018730893791701744,0.07316755387383495,0.62,5,5
